"Date","Time","Open","High","Low","Close","Vol","OI"
07/24/2012,15:00,6.13,6.21,5.92,5.97,7503380,0
07/25/2012,15:00,5.98,6.00,5.75,5.79,14220325,0
07/26/2012,15:00,5.98,6.00,5.53,5.63,11315025,0
07/27/2012,15:00,5.74,5.93,5.62,5.90,8364840,0
07/30/2012,15:00,5.90,6.05,5.44,5.47,10330200,0
07/31/2012,15:00,5.51,5.59,5.47,5.48,7875300,0
08/01/2012,15:00,5.57,5.60,5.21,5.25,7961085,0
08/02/2012,15:00,5.37,5.37,5.10,5.22,6525080,0
08/03/2012,15:00,5.38,5.51,5.35,5.45,6047350,0
08/06/2012,15:00,5.51,5.74,5.51,5.65,7640845,0
08/07/2012,15:00,5.75,6.18,5.70,6.05,11936520,0
08/08/2012,15:00,5.98,6.00,5.72,5.82,6544475,0
08/09/2012,15:00,5.86,6.00,5.83,5.88,3362920,0
08/10/2012,15:00,5.86,5.99,5.86,5.99,3536950,0
08/13/2012,15:00,5.94,6.26,5.82,6.23,4350250,0
08/14/2012,15:00,6.15,6.23,5.85,5.88,3966680,0
08/15/2012,15:00,5.88,5.94,5.76,5.88,2626925,0
08/16/2012,15:00,5.91,6.08,5.90,6.06,3344865,0
08/17/2012,15:00,6.06,6.14,6.00,6.00,2540610,0
08/20/2012,15:00,6.03,6.08,5.82,5.90,5895040,0
08/21/2012,15:00,5.95,6.00,5.80,5.82,3807580,0
08/22/2012,15:00,5.80,6.01,5.80,5.99,3877450,0
08/23/2012,15:00,6.00,6.17,5.93,6.15,7354870,0
08/24/2012,15:00,6.01,6.05,5.88,5.90,7150055,0
08/27/2012,15:00,5.91,5.94,5.63,5.66,6751625,0
08/28/2012,15:00,5.68,5.88,5.60,5.74,7013280,0
08/29/2012,15:00,5.70,5.73,5.60,5.68,4194415,0
08/30/2012,15:00,5.72,5.75,5.62,5.68,3281535,0
08/31/2012,15:00,5.72,5.77,5.64,5.70,2698680,0
09/04/2012,15:00,5.70,5.80,5.58,5.63,3762480,0
09/05/2012,15:00,5.60,5.70,5.56,5.59,3196135,0
09/06/2012,15:00,5.60,5.78,5.58,5.71,4208215,0
09/07/2012,15:00,5.71,5.91,5.70,5.87,4765755,0
09/10/2012,15:00,5.84,5.87,5.46,5.47,7420075,0
09/11/2012,15:00,5.55,5.63,5.48,5.56,5074355,0
09/12/2012,15:00,5.58,5.72,5.56,5.66,5726670,0
09/13/2012,15:00,5.71,5.90,5.70,5.90,7431795,0
09/14/2012,15:00,6.00,6.13,5.93,6.08,7683345,0
09/17/2012,15:00,6.47,6.56,6.30,6.51,16064955,0
09/18/2012,15:00,6.38,6.38,6.14,6.27,8942400,0
09/19/2012,15:00,6.20,6.35,6.19,6.21,5242285,0
09/20/2012,15:00,6.19,6.30,6.14,6.18,4561860,0
09/21/2012,15:00,6.22,6.30,5.91,6.00,9350850,0
09/24/2012,15:00,5.90,6.21,5.88,6.13,6510020,0
09/25/2012,15:00,5.72,5.90,5.51,5.53,28424760,0
09/26/2012,15:00,5.53,5.68,5.50,5.51,7636600,0
09/27/2012,15:00,5.56,5.71,5.52,5.70,8792765,0
09/28/2012,15:00,5.75,5.98,5.72,5.86,21716690,0
10/01/2012,15:00,5.90,5.98,5.80,5.83,4421525,0
10/02/2012,15:00,5.86,5.98,5.80,5.96,3644845,0
10/03/2012,15:00,5.95,5.99,5.85,5.86,5276440,0
10/04/2012,15:00,6.00,6.02,5.73,5.88,7706035,0
10/05/2012,15:00,5.94,5.96,5.74,5.78,4693350,0
10/08/2012,15:00,5.77,5.88,5.72,5.85,4450030,0
10/09/2012,15:00,5.82,5.82,5.65,5.67,5967395,0
10/10/2012,15:00,5.68,5.74,5.60,5.68,2525315,0
10/11/2012,15:00,5.79,5.80,5.65,5.66,2252855,0
10/12/2012,15:00,5.66,5.75,5.50,5.53,4937675,0
10/15/2012,15:00,5.60,5.61,5.37,5.47,7345835,0
10/16/2012,15:00,5.53,5.62,5.47,5.61,2396240,0
10/17/2012,15:00,5.65,5.77,5.56,5.76,3339815,0
10/18/2012,15:00,5.80,5.80,5.56,5.61,3704735,0
10/19/2012,15:00,5.57,5.64,5.46,5.55,5136510,0
10/22/2012,15:00,5.60,5.60,5.47,5.57,2350990,0
10/23/2012,15:00,5.48,5.71,5.47,5.68,3746365,0
10/24/2012,15:00,5.70,5.70,5.45,5.48,5081840,0
10/25/2012,15:00,5.56,5.56,5.49,5.50,2888430,0
10/26/2012,15:00,5.51,5.56,5.40,5.48,2386525,0
10/31/2012,15:00,5.54,5.67,5.47,5.63,3875710,0
11/01/2012,15:00,5.65,5.90,5.64,5.85,5120270,0
11/02/2012,15:00,5.85,5.91,5.71,5.78,5151325,0
11/05/2012,15:00,5.98,6.32,5.87,6.30,10245590,0
11/06/2012,15:00,6.12,6.24,5.99,6.23,11619715,0
11/07/2012,15:00,6.20,6.41,6.16,6.31,8577085,0
11/08/2012,15:00,6.20,6.38,6.19,6.26,6369930,0
11/09/2012,15:00,6.12,6.19,5.97,6.06,4315140,0
11/12/2012,15:00,6.06,6.28,6.03,6.21,2788255,0
11/13/2012,15:00,6.26,6.40,6.14,6.32,4991315,0
11/14/2012,15:00,6.39,6.42,6.24,6.28,4356575,0
11/15/2012,15:00,6.26,6.29,6.10,6.16,4919705,0
11/16/2012,15:00,6.23,6.40,6.12,6.37,4543250,0
11/19/2012,15:00,6.41,6.65,6.37,6.58,6962740,0
11/20/2012,15:00,6.56,6.62,6.38,6.60,4612135,0
11/21/2012,15:00,6.52,6.69,6.46,6.49,4815665,0
11/23/2012,15:00,6.52,6.57,6.34,6.43,2151060,0
11/26/2012,15:00,6.42,6.46,6.32,6.45,2481095,0
11/27/2012,15:00,6.43,6.53,6.30,6.43,4553850,0
11/28/2012,15:00,6.40,6.86,6.38,6.65,7626495,0
11/29/2012,15:00,6.69,6.80,6.57,6.74,5516575,0
11/30/2012,15:00,6.73,6.86,6.60,6.76,7101420,0
12/03/2012,15:00,6.78,7.00,6.70,6.92,10428765,0
12/04/2012,15:00,6.84,6.96,6.71,6.78,6321055,0
12/05/2012,15:00,6.76,6.84,6.72,6.74,3307430,0
12/06/2012,15:00,6.76,6.96,6.70,6.78,3301985,0
12/07/2012,15:00,6.86,6.90,6.77,6.83,3322930,0
12/10/2012,15:00,6.89,6.96,6.84,6.91,4648755,0
12/11/2012,15:00,6.92,7.10,6.89,7.06,7862955,0
12/12/2012,15:00,7.04,7.16,6.99,7.05,10319385,0
12/13/2012,15:00,7.05,7.06,6.55,6.72,10756120,0
